scenario,attack,scope,samples,auc_roc,tpr_at_1_fpr,tpr_at_0_1_fpr,accuracy,balanced_accuracy,majority_class_accuracy,pld_auc_roc,pld_accuracy
finetuning,loss,all,6000,0.514727,0.01,0.000667,0.513833,0.513833,0.5,,
finetuning,loss,G0,3000,0.522399,0.008667,0.001333,0.520333,0.520333,0.5,,
finetuning,loss,G1,3000,0.507605,0.004667,0.0,0.512333,0.512333,0.5,,
finetuning,loss,gap:G0-G1,,,,,,,,0.014793,0.008
finetuning,min_k,all,6000,0.515619,0.009333,0.001,0.514833,0.514833,0.5,,
finetuning,min_k,G0,3000,0.526195,0.013333,0.002,0.524333,0.524333,0.5,,
finetuning,min_k,G1,3000,0.505235,0.004,0.0,0.511,0.511,0.5,,
finetuning,min_k,gap:G0-G1,,,,,,,,0.020959,0.013333
finetuning,neighborhood,all,6000,0.504673,0.007667,0.001,0.512167,0.512167,0.5,,
finetuning,neighborhood,G0,3000,0.497882,0.009333,0.000667,0.513667,0.513667,0.5,,
finetuning,neighborhood,G1,3000,0.511738,0.008,0.0,0.515,0.515,0.5,,
finetuning,neighborhood,gap:G0-G1,,,,,,,,0.013856,0.001333
finetuning,reference,all,6000,0.507986,0.010333,0.000333,0.512167,0.512167,0.5,,
finetuning,reference,G0,3000,0.500813,0.011333,0.000667,0.512333,0.512333,0.5,,
finetuning,reference,G1,3000,0.515287,0.009333,0.0,0.515,0.515,0.5,,
finetuning,reference,gap:G0-G1,,,,,,,,0.014473,0.002667
finetuning,zlib,all,6000,0.496966,0.007333,0.001,0.506833,0.506833,0.5,,
finetuning,zlib,G0,3000,0.499512,0.008667,0.002,0.509667,0.509667,0.5,,
finetuning,zlib,G1,3000,0.493915,0.006667,0.001333,0.512,0.512,0.5,,
finetuning,zlib,gap:G0-G1,,,,,,,,0.005598,0.002333
